Date,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
2024-01-01,11.55,22.79,20.73,0.27,1.67,0.34,3.33,30.17,76.17,89.83
2024-01-02,11.47,22.74,23.21,0.09,1.42,0.0,3.68,30.32,73.63,114.16
2024-01-03,11.34,22.08,20.98,0.07,1.97,0.42,3.46,30.42,73.71,106.17
2024-01-04,13.06,24.92,26.69,0.2,1.92,0.3,3.46,30.5,75.04,122.04
2024-01-05,24.92,43.46,32.06,0.22,2.13,0.09,3.12,29.75,75.79,106.04
2024-01-06,25.12,43.29,35.77,0.26,1.76,0.05,3.42,29.71,77.04,53.04
2024-01-07,17.85,32.16,19.24,0.29,2.92,0.01,2.35,28.22,85.43,118.35
2024-01-08,17.18,33.83,20.81,0.17,1.34,0.01,3.54,30.08,75.62,47.79
2024-01-09,17.44,32.71,21.11,0.18,1.97,0.01,3.0,30.21,76.21,104.08
2024-01-10,14.15,27.96,11.81,0.23,3.39,0.26,2.62,29.5,79.58,154.62
2024-01-11,15.68,30.67,15.81,0.15,2.22,0.22,2.88,30.25,74.38,82.29
2024-01-12,18.56,34.38,19.05,0.2,2.63,0.05,2.54,29.58,77.21,119.29
2024-01-13,21.51,37.58,29.15,0.22,2.72,0.09,2.58,29.42,74.0,108.33
2024-01-14,23.14,40.75,34.06,0.23,1.51,0.13,3.29,29.42,72.42,87.42
2024-01-15,21.52,37.67,32.11,0.22,1.84,0.09,3.42,29.62,73.79,94.62
2024-01-16,14.27,27.25,25.94,0.28,2.47,0.05,3.83,29.12,78.96,149.83
2024-01-17,23.23,44.17,31.81,0.21,1.38,0.01,4.08,30.21,73.12,55.04
2024-01-18,21.65,40.12,23.15,0.16,2.05,0.01,3.08,29.67,76.38,78.67
2024-01-19,21.58,39.12,26.15,0.22,2.38,0.01,3.29,29.83,76.46,105.54
2024-01-20,21.16,35.96,25.36,0.26,3.59,0.05,1.88,30.04,74.04,135.75
2024-01-21,20.67,36.29,19.02,0.33,3.55,0.01,1.83,28.88,80.42,139.42
2024-01-22,18.75,33.54,16.61,0.25,3.72,0.01,2.42,29.21,77.5,106.83
2024-01-23,8.01,16.54,14.27,0.23,2.47,0.05,2.62,27.92,83.04,83.33
2024-01-24,11.71,25.58,19.86,0.21,1.47,0.09,4.33,29.67,75.83,47.33
2024-01-25,11.99,24.5,26.02,0.22,1.38,0.38,4.25,28.5,81.88,57.75
2024-01-26,18.4,36.67,31.31,0.23,1.09,0.05,5.25,29.71,74.58,56.33
2024-01-27,23.11,44.5,30.44,0.22,1.17,0.01,4.96,30.08,72.58,54.75
2024-01-28,20.71,37.58,30.69,0.21,1.13,0.13,3.92,30.04,71.29,52.17
2024-01-29,22.33,41.0,30.94,0.2,1.4,0.14,3.96,29.74,71.96,46.3
2024-01-30,19.45,38.17,32.61,0.17,1.09,0.67,4.88,30.21,69.25,51.25
2024-01-31,16.3,31.71,27.4,0.2,1.42,0.01,4.25,29.09,67.46,57.38
2024-02-01,14.82,28.43,23.85,0.24,1.66,0.27,3.52,28.0,68.78,64.04
2024-02-02,15.59,25.25,12.63,0.16,3.2,0.02,1.92,25.0,84.25,113.92
2024-02-03,15.01,26.0,18.02,0.16,3.13,0.1,2.67,28.21,71.75,137.5
2024-02-04,14.63,29.96,21.71,0.28,2.63,0.46,1.58,28.88,69.96,138.38
2024-02-05,19.77,37.12,26.02,0.3,4.17,0.13,1.92,28.67,72.29,127.58
2024-02-06,21.1,38.0,21.02,0.33,4.22,0.05,1.75,29.04,71.21,145.83
2024-02-07,19.41,33.29,17.56,0.24,3.51,0.26,2.21,28.83,70.88,147.17
2024-02-08,16.48,33.0,17.56,0.2,3.97,0.46,2.0,29.25,69.25,137.79
2024-02-09,18.26,31.92,21.44,0.26,2.42,0.21,2.62,29.04,70.79,83.62
2024-02-10,15.58,34.21,22.73,0.18,2.09,0.21,4.0,28.88,67.42,85.12
2024-02-11,14.02,44.33,33.81,0.25,1.72,0.01,4.25,28.46,66.33,53.42
2024-02-12,18.56,47.12,39.56,0.31,1.72,0.51,3.88,28.38,66.71,50.46
2024-02-13,16.92,46.58,38.69,0.26,1.3,0.42,4.21,28.46,67.21,48.62
2024-02-14,15.59,46.75,24.4,0.17,1.8,0.13,3.75,28.25,73.92,49.58
2024-02-15,12.15,37.33,22.52,0.13,1.72,0.13,4.0,29.25,67.58,54.96
2024-02-16,15.96,38.96,24.81,0.16,2.22,0.01,3.62,28.79,70.17,56.25
2024-02-17,12.94,36.79,21.98,0.19,1.8,0.13,4.17,28.46,68.75,94.62
2024-02-18,14.25,38.83,19.27,0.09,1.22,0.01,3.58,28.71,69.21,52.92
2024-02-19,10.77,29.08,14.98,0.11,2.55,0.01,3.42,29.21,71.12,85.33
2024-02-20,12.7,29.12,13.06,0.13,3.34,0.17,2.12,29.21,73.62,136.12
2024-02-21,8.97,22.17,18.15,0.15,2.47,0.17,2.5,29.58,69.08,116.71
2024-02-22,8.8,22.54,21.77,0.16,2.01,0.17,2.71,29.88,66.5,73.75
2024-02-23,9.82,21.96,16.94,0.13,2.3,0.3,2.96,28.79,68.08,85.96
2024-02-24,9.79,22.33,15.65,0.15,2.47,0.26,3.08,28.46,69.12,136.75
2024-02-25,12.0,27.92,15.73,0.13,2.64,0.17,3.71,29.17,68.58,97.67
2024-02-26,15.56,33.75,25.11,0.13,1.22,0.18,4.33,29.38,67.46,53.0
2024-02-27,11.64,38.29,23.25,0.14,1.34,0.17,4.25,29.04,67.17,42.58
2024-02-28,11.24,35.12,20.81,0.09,1.3,0.05,4.92,29.71,65.08,56.0
2024-02-29,12.92,37.0,25.65,0.1,1.42,0.09,4.33,29.46,63.0,46.92
2024-03-01,17.26,44.56,9.0,0.13,3.78,0.0,1.56,25.56,85.67,181.11
